"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""Inactivity"""	" ""eventid"": 32807"	" ""subject"": {""owner"": ""Ctrl1Ebus1"""	" ""boxid"": 1"	" ""id"": {""name"": ""Ctrl1Ebus1""}"	" ""host"": ""192.168.100.100: eBUS ID 1"""	" ""hostType"": null"	" ""subboxid"": 1}"	" ""message"": ""Inactivity 12621"""	" ""value"": 12621}"			
"7/7/2023 12:35:20 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""Inactivity"""	" ""eventid"": 32807"	" ""subject"": {""owner"": ""Ctrl1Ebus2"""	" ""boxid"": 1"	" ""id"": {""name"": ""Ctrl1Ebus2""}"	" ""host"": ""192.168.100.100: eBUS ID 2"""	" ""hostType"": null"	" ""subboxid"": 2}"	" ""message"": ""Inactivity 12621"""	" ""value"": 12621}"			
"7/7/2023 12:35:20 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""Inactivity"""	" ""eventid"": 32807"	" ""subject"": {""owner"": ""Ctrl1Ebus3"""	" ""boxid"": 1"	" ""id"": {""name"": ""Ctrl1Ebus3""}"	" ""host"": ""192.168.100.100: eBUS ID 3"""	" ""hostType"": null"	" ""subboxid"": 3}"	" ""message"": ""Inactivity 12621"""	" ""value"": 12621}"			
"7/7/2023 12:35:20 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""Inactivity"""	" ""eventid"": 32807"	" ""subject"": {""owner"": ""Ctrl1Ebus4"""	" ""boxid"": 1"	" ""id"": {""name"": ""Ctrl1Ebus4""}"	" ""host"": ""192.168.100.100: eBUS ID 4"""	" ""hostType"": null"	" ""subboxid"": 4}"	" ""message"": ""Inactivity 12621"""	" ""value"": 12621}"			
"7/7/2023 12:35:20 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
"7/7/2023 12:35:20 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
"7/7/2023 12:35:20 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateStandby""}"				
